"filename", "language", "C++", "comment", "blank", "total"
"/home/jcoli/develop/Platformio/projects/grow_sensor_103/include/can_control.h", "C++", 7, 6, 8, 21
"/home/jcoli/develop/Platformio/projects/grow_sensor_103/include/defines.h", "C++", 19, 6, 9, 34
"/home/jcoli/develop/Platformio/projects/grow_sensor_103/include/input_analog_control.h", "C++", 6, 6, 4, 16
"/home/jcoli/develop/Platformio/projects/grow_sensor_103/include/io_defines.h", "C++", 11, 8, 5, 24
"/home/jcoli/develop/Platformio/projects/grow_sensor_103/include/variables.h", "C++", 35, 6, 6, 47
"Total", "-", 78, 32, 32, 142
